timestamp,Tank,CO2,pH,Salinity,Algae,Intensity_A,Intensity_B,Intensity_C,ref_A,ref_B,ref_C
1750838400000,2,181.83,6.47,217.23,-0.11,89.71,40.13,53.71,98.55,41.02,51.63
1750840200000,2,73.75,6.64,346.31,2.48,88.74,36.61,48.59,98.55,41.02,51.63
1750842000000,2,103.2,6.95,273.41,2.67,93.65,36.64,49.97,98.55,41.02,51.63
1750843800000,2,202.98,6.63,148.96,7.46,91.37,34.44,50.22,98.55,41.02,51.63
1750845600000,2,69.94,6.87,71.74,0.23,96.75,43.26,50.81,98.55,41.02,51.63
1750847400000,2,214.2,6.53,735.42,-1.78,93.99,39.58,52.28,98.55,41.02,51.63
1750849200000,2,193.17,6.67,633.4,-0.08,95.19,40.38,51.36,98.55,41.02,51.63
1750851000000,2,-3.72,7.29,-139.37,4.39,93.55,35.84,49.14,98.55,41.02,51.63
1750852800000,2,-39.85,6.71,-4.07,11.94,93.38,37.55,49.13,98.55,41.02,51.63
1750854600000,2,-178.24,6.82,-257.24,0.53,92.24,42.19,52.26,98.55,41.02,51.63
1750856400000,2,-20.83,6.4,424.2,-4.6,93.37,35.7,51.93,98.55,41.02,51.63
1750858200000,2,22.22,6.28,-120.46,1.66,95.26,36.99,49.04,98.55,41.02,51.63
1750860000000,2,159.46,6.74,827.74,5.26,94.2,38.9,53.11,98.55,41.02,51.63
1750861800000,2,-226.65,6.41,436.67,-6.58,91.32,34.99,51.28,98.55,41.02,51.63
1750863600000,2,157.61,6.78,-229.87,1.96,92.13,35.11,51.76,98.55,41.02,51.63
1750865400000,2,112.3,6.51,159.19,5.28,91.63,37.99,51.04,98.55,41.02,51.63
1750867200000,2,115.49,6.81,33.63,-2.85,92.62,41.33,53.79,98.55,41.02,51.63
1750869000000,2,-118.33,6.73,488.85,12.56,94.78,40.8,50.87,98.55,41.02,51.63
1750870800000,2,118.13,6.69,268.36,-0.66,93.15,39.63,51.57,98.55,41.02,51.63
1750872600000,2,51.87,6.61,63.1,-2.78,93.21,39.09,52.87,98.55,41.02,51.63
1750874400000,2,301.79,6.3,-30.32,0.5,92.55,37.81,52.29,98.55,41.02,51.63
1750876200000,2,116.87,6.8,155.13,3.62,91.8,43.97,52.01,98.55,41.02,51.63
