timestamp,Tank,CO2,pH,Salinity,Algae,Intensity_A,Intensity_B,Intensity_C,ref_A,ref_B,ref_C
1750752000000,2,-81.68,6.71,181.99,1.71,93.47,35.68,52.73,98.55,41.02,51.63
1750753800000,2,133.31,6.6,282.15,6.49,93.48,37.75,51.32,98.55,41.02,51.63
1750755600000,2,146.84,6.38,333.74,1.69,90.63,38.12,52.02,98.55,41.02,51.63
1750757400000,2,130.38,6.48,441.15,5.85,93.5,42.33,52.49,98.55,41.02,51.63
1750759200000,2,165.18,6.85,103.41,6.69,90.17,43.01,53.15,98.55,41.02,51.63
1750761000000,2,338.97,6.69,618.32,2.22,92.52,40.05,51.68,98.55,41.02,51.63
1750762800000,2,130.4,6.93,321.78,5.54,94.01,41.12,52.12,98.55,41.02,51.63
1750764600000,2,44.37,6.53,-94.95,-6.72,95.59,36.73,49.79,98.55,41.02,51.63
1750766400000,2,-36.78,6.5,-152.21,-0.25,92.39,39.79,52.01,98.55,41.02,51.63
1750768200000,2,8.67,6.68,221.98,9.87,91.47,41.66,49.27,98.55,41.02,51.63
1750770000000,2,68.61,6.67,-344.09,13.79,89.8,41.18,50.27,98.55,41.02,51.63
1750771800000,2,101.67,6.51,92.5,-4.16,93.54,40.28,50.99,98.55,41.02,51.63
1750773600000,2,-3.3,6.43,288.61,-3.68,89.62,42.79,51.89,98.55,41.02,51.63
1750775400000,2,81.95,6.79,50.76,8.5,92.59,38.98,53.47,98.55,41.02,51.63
1750777200000,2,13.92,6.7,458.84,-4.18,90.69,39.52,52.28,98.55,41.02,51.63
1750779000000,2,-105.79,6.66,-91.58,-6.11,91.36,37.2,51.39,98.55,41.02,51.63
1750780800000,2,314.64,6.42,196.31,-4.89,92.79,35.09,48.14,98.55,41.02,51.63
1750782600000,2,232.7,6.52,-42.29,-1.94,94.28,39.49,51.27,98.55,41.02,51.63
1750784400000,2,130.13,6.41,-243.23,12.62,89.81,39.62,50.2,98.55,41.02,51.63
1750786200000,2,-224.43,6.75,-235.52,2.77,93.45,38.5,50.71,98.55,41.02,51.63
1750788000000,2,154.71,6.44,-308.77,-0.75,93.68,35.36,50.71,98.55,41.02,51.63
1750789800000,2,90.45,6.61,-325.84,-7.36,92.93,35.35,49.9,98.55,41.02,51.63
