timestamp,Sunlight,Temperature
1751270400000,-90.84,31.04
1751272200000,45.97,29.72
1751274000000,11.87,28.11
1751275800000,-137.56,30.73
1751277600000,-184.79,32.68
1751279400000,-7.48,30.1
1751281200000,-56.68,31.37
1751283000000,10.7,28.18
1751284800000,-0.18,31.39
1751286600000,-190.58,31.58
1751288400000,-25.89,31.44
1751290200000,-20.31,30.66
1751292000000,43.77,25.86
1751293800000,18.69,29.46
1751295600000,-162.57,33.68
1751297400000,-132.17,30.32
1751299200000,5.38,31.54
1751301000000,-23.2,26.77
1751302800000,-85.11,29.49
1751304600000,-129.02,35.56
1751306400000,-103.33,25.62
