timestamp,Sunlight,Temperature
1751184000000,-19.31,33.11
1751185800000,-191.94,26.78
1751187600000,69.99,28.69
1751189400000,-182.01,30.05
1751191200000,-208.69,24.29
1751193000000,116.87,29.59
1751194800000,2.35,30.07
1751196600000,-151.49,34.97
1751198400000,9.48,30.38
1751200200000,-48.0,32.33
1751202000000,-70.35,28.69
1751203800000,-64.85,30.25
1751205600000,51.04,29.08
1751207400000,-86.7,34.29
1751209200000,-198.56,30.53
1751211000000,-223.51,28.71
1751212800000,-155.52,29.68
1751214600000,-75.35,26.22
1751216400000,-257.14,30.81
1751218200000,-137.22,29.05
1751220000000,-170.0,29.42
1751221800000,-213.58,29.95
