timestamp,Sunlight,Temperature
1750924800000,-78.17,31.98
1750926600000,-82.52,29.8
1750928400000,-256.1,28.3
1750930200000,-0.13,33.91
1750932000000,-113.3,34.2
1750933800000,-184.21,30.05
1750935600000,-45.64,30.1
1750937400000,37.74,30.83
1750939200000,-171.93,29.24
1750941000000,29.87,27.71
1750942800000,-139.23,30.77
1750944600000,-39.33,31.79
1750946400000,-110.55,29.61
1750948200000,-288.06,30.62
1750950000000,-83.25,24.85
1750951800000,103.68,32.39
1750953600000,-164.79,31.24
1750955400000,-64.61,27.53
1750957200000,-179.41,29.14
1750959000000,-98.17,30.34
1750960800000,-4.97,23.89
1750962600000,-67.88,31.44
