timestamp,Tank,CO2,pH,Salinity,Algae,Intensity_A,Intensity_B,Intensity_C,ref_A,ref_B,ref_C
1750924800000,2,-37.02,6.67,327.15,3.05,90.66,42.26,49.41,98.55,41.02,51.63
1750926600000,2,-159.09,6.66,37.19,-4.66,97.18,38.18,51.39,98.55,41.02,51.63
1750928400000,2,287.44,7.06,246.93,1.83,94.44,40.67,50.34,98.55,41.02,51.63
1750930200000,2,138.76,6.54,408.95,-6.62,92.73,34.77,52.27,98.55,41.02,51.63
1750932000000,2,105.44,6.58,632.78,0.3,94.75,35.06,51.84,98.55,41.02,51.63
1750933800000,2,141.18,6.37,237.5,5.53,91.18,35.1,50.91,98.55,41.02,51.63
1750935600000,2,292.28,6.6,175.14,-1.6,92.63,38.53,51.54,98.55,41.02,51.63
1750937400000,2,142.81,6.85,-152.73,-3.08,94.34,39.49,47.39,98.55,41.02,51.63
1750939200000,2,-68.14,6.78,-78.59,-12.65,89.99,35.53,50.83,98.55,41.02,51.63
1750941000000,2,196.07,6.5,333.02,-2.84,90.52,37.06,52.75,98.55,41.02,51.63
1750942800000,2,127.76,6.6,213.18,-3.67,94.48,39.43,49.28,98.55,41.02,51.63
1750944600000,2,25.74,6.87,186.48,2.64,92.06,34.61,49.42,98.55,41.02,51.63
1750946400000,2,-21.65,6.8,-222.8,-7.29,92.93,37.26,51.63,98.55,41.02,51.63
1750948200000,2,242.56,6.27,194.25,2.61,88.19,37.82,50.88,98.55,41.02,51.63
1750950000000,2,-30.47,6.65,21.99,4.06,92.74,39.18,50.67,98.55,41.02,51.63
1750951800000,2,402.96,6.44,325.37,-1.16,92.15,40.68,51.29,98.55,41.02,51.63
1750953600000,2,329.08,6.76,622.73,0.87,93.49,38.3,52.94,98.55,41.02,51.63
1750955400000,2,10.92,6.28,578.88,-0.31,95.08,33.15,50.32,98.55,41.02,51.63
1750957200000,2,-133.46,6.52,286.07,-2.51,88.23,42.45,51.11,98.55,41.02,51.63
1750959000000,2,192.75,6.84,143.85,1.81,91.92,39.34,48.2,98.55,41.02,51.63
1750960800000,2,37.0,6.58,104.22,1.67,95.39,37.36,52.08,98.55,41.02,51.63
1750962600000,2,32.85,6.8,-228.86,0.36,93.93,40.59,51.51,98.55,41.02,51.63
