timestamp,Sunlight,Temperature
1751011200000,-104.97,31.49
1751013000000,-104.69,28.56
1751014800000,-7.88,28.74
1751016600000,-161.0,29.47
1751018400000,-53.94,33.15
1751020200000,-237.45,29.69
1751022000000,-134.94,30.06
1751023800000,-288.23,30.57
1751025600000,-129.11,28.21
1751027400000,-197.33,32.45
1751029200000,-67.65,30.74
1751031000000,54.57,33.52
1751032800000,-253.6,28.49
1751034600000,5.54,32.74
1751036400000,-5.23,26.4
1751038200000,-52.11,26.99
1751040000000,-87.66,29.83
1751041800000,55.01,30.85
1751043600000,-140.85,28.07
1751045400000,-102.06,28.23
1751047200000,-19.89,31.29
1751049000000,76.19,30.11
