timestamp,Sunlight,Temperature
1750752000000,-218.77,28.05
1750753800000,-37.78,27.94
1750755600000,-136.58,30.47
1750757400000,-107.11,30.69
1750759200000,-14.64,27.66
1750761000000,-85.66,29.86
1750762800000,-66.14,30.78
1750764600000,-153.1,28.77
1750766400000,-47.01,29.43
1750768200000,-81.04,29.6
1750770000000,-172.87,27.82
1750771800000,-114.37,24.35
1750773600000,-18.68,34.33
1750775400000,-187.46,27.28
1750777200000,-141.89,32.6
1750779000000,-105.67,27.07
1750780800000,-122.83,25.27
1750782600000,-4.48,24.92
1750784400000,-19.57,34.19
1750786200000,14.98,26.38
1750788000000,-115.23,29.83
1750789800000,-80.51,27.85
