timestamp,Tank,CO2,pH,Salinity,Algae,Intensity_A,Intensity_B,Intensity_C,ref_A,ref_B,ref_C
1751270400000,2,-35.35,6.37,135.77,-8.46,92.17,42.51,49.63,98.55,41.02,51.63
1751272200000,2,482.22,6.28,-554.42,-4.71,92.43,35.13,52.83,98.55,41.02,51.63
1751274000000,2,-78.31,6.78,730.27,2.98,91.27,37.11,49.81,98.55,41.02,51.63
1751275800000,2,64.46,6.31,170.7,-2.49,86.62,37.91,50.5,98.55,41.02,51.63
1751277600000,2,130.31,6.25,-249.66,2.07,91.39,41.49,50.66,98.55,41.02,51.63
1751279400000,2,253.47,6.77,43.66,4.37,92.91,41.17,52.03,98.55,41.02,51.63
1751281200000,2,16.53,6.87,453.41,-5.77,89.64,41.03,52.19,98.55,41.02,51.63
1751283000000,2,102.76,6.4,-166.12,12.91,91.99,40.0,49.05,98.55,41.02,51.63
1751284800000,2,123.04,6.46,417.19,10.3,92.52,38.26,53.03,98.55,41.02,51.63
1751286600000,2,211.77,6.8,-372.55,-3.13,88.64,38.61,49.7,98.55,41.02,51.63
1751288400000,2,-37.52,6.56,38.09,-5.03,94.37,41.32,50.32,98.55,41.02,51.63
1751290200000,2,-139.06,6.67,266.45,-0.79,91.81,40.9,51.29,98.55,41.02,51.63
1751292000000,2,-209.18,6.66,43.2,-5.58,92.12,42.58,51.66,98.55,41.02,51.63
1751293800000,2,-112.35,6.37,-30.29,8.27,95.52,42.14,51.6,98.55,41.02,51.63
1751295600000,2,-104.19,6.32,-75.69,-4.44,91.57,37.19,53.03,98.55,41.02,51.63
1751297400000,2,-98.57,6.56,121.86,0.91,92.29,38.94,49.58,98.55,41.02,51.63
1751299200000,2,-288.63,6.71,-263.09,-3.96,91.17,39.69,49.95,98.55,41.02,51.63
1751301000000,2,20.57,7.05,85.5,0.27,90.55,37.1,51.61,98.55,41.02,51.63
1751302800000,2,-77.16,6.57,494.59,2.44,93.62,40.36,51.12,98.55,41.02,51.63
1751304600000,2,45.58,6.83,358.06,-2.03,91.26,35.21,52.38,98.55,41.02,51.63
1751306400000,2,-10.85,6.61,470.51,0.4,92.69,38.76,49.34,98.55,41.02,51.63
