timestamp,Sunlight,Temperature
1751097600000,-127.82,25.17
1751099400000,-76.83,27.43
1751101200000,-95.58,32.1
1751103000000,-21.42,33.6
1751104800000,-17.08,29.7
1751106600000,-205.18,24.92
1751108400000,-147.88,30.32
1751110200000,33.53,30.12
1751112000000,-14.07,26.22
1751113800000,-46.68,27.8
1751115600000,3.5,28.09
1751117400000,-123.41,30.0
1751119200000,-163.97,28.8
1751121000000,-149.31,29.94
1751122800000,-196.43,30.44
1751124600000,-117.39,30.28
1751126400000,-61.07,34.01
1751128200000,-30.32,32.08
1751130000000,-204.65,29.25
1751131800000,-21.32,27.09
1751133600000,-153.93,28.32
1751135400000,-37.2,29.64
