timestamp,Tank,CO2,pH,Salinity,Algae,Intensity_A,Intensity_B,Intensity_C,ref_A,ref_B,ref_C
1751097600000,2,101.15,6.4,8.33,-6.09,92.91,39.28,49.94,98.55,41.02,51.63
1751099400000,2,-190.35,6.96,-122.05,0.1,91.13,39.35,50.45,98.55,41.02,51.63
1751101200000,2,-95.75,6.55,430.6,8.3,91.03,40.14,48.0,98.55,41.02,51.63
1751103000000,2,152.03,6.72,303.0,-5.18,91.51,37.7,51.3,98.55,41.02,51.63
1751104800000,2,189.07,6.99,256.04,3.41,91.36,35.07,51.4,98.55,41.02,51.63
1751106600000,2,-346.39,6.61,147.56,-0.33,93.23,43.87,49.92,98.55,41.02,51.63
1751108400000,2,-130.2,6.79,86.82,2.01,94.21,38.23,50.52,98.55,41.02,51.63
1751110200000,2,248.94,6.63,118.1,3.29,93.72,40.45,50.05,98.55,41.02,51.63
1751112000000,2,124.45,6.77,231.09,2.95,94.71,37.78,49.46,98.55,41.02,51.63
1751113800000,2,421.61,6.69,362.86,6.7,89.78,39.17,50.71,98.55,41.02,51.63
1751115600000,2,-28.86,6.45,-355.94,-0.93,91.84,38.97,50.49,98.55,41.02,51.63
1751117400000,2,-203.78,6.74,22.95,10.54,93.19,38.74,50.29,98.55,41.02,51.63
1751119200000,2,214.56,6.96,-19.67,4.91,92.83,34.2,51.19,98.55,41.02,51.63
1751121000000,2,19.03,7.05,324.56,6.21,94.63,38.71,49.32,98.55,41.02,51.63
1751122800000,2,51.72,7.02,-80.07,1.53,91.86,37.75,51.38,98.55,41.02,51.63
1751124600000,2,136.61,6.77,-27.65,-5.22,93.84,36.82,50.48,98.55,41.02,51.63
1751126400000,2,-91.96,6.53,185.44,3.31,92.0,39.59,50.0,98.55,41.02,51.63
1751128200000,2,-125.61,6.73,474.78,3.19,89.88,38.72,50.65,98.55,41.02,51.63
1751130000000,2,183.02,6.38,-45.13,6.07,88.44,37.7,52.67,98.55,41.02,51.63
1751131800000,2,263.47,6.51,-113.94,1.35,90.4,39.08,47.57,98.55,41.02,51.63
1751133600000,2,208.45,6.73,30.56,-1.05,93.38,37.37,51.02,98.55,41.02,51.63
1751135400000,2,168.72,6.65,479.14,-0.2,88.68,36.26,51.03,98.55,41.02,51.63
