timestamp,Tank,CO2,pH,Salinity,Algae,Intensity_A,Intensity_B,Intensity_C,ref_A,ref_B,ref_C
1751184000000,2,74.63,6.49,563.76,-7.43,92.92,38.63,50.2,98.55,41.02,51.63
1751185800000,2,245.31,6.74,55.1,9.98,92.11,38.74,49.97,98.55,41.02,51.63
1751187600000,2,118.51,6.59,188.45,0.11,91.75,35.66,49.84,98.55,41.02,51.63
1751189400000,2,150.96,6.59,28.17,-3.72,92.88,38.83,47.49,98.55,41.02,51.63
1751191200000,2,-104.14,6.6,797.83,-1.06,88.03,36.16,49.55,98.55,41.02,51.63
1751193000000,2,230.73,6.48,162.95,-1.32,89.52,35.35,53.79,98.55,41.02,51.63
1751194800000,2,61.27,6.73,114.87,-1.0,92.99,36.04,50.44,98.55,41.02,51.63
1751196600000,2,-393.03,6.48,-2.81,-1.36,96.12,37.07,53.09,98.55,41.02,51.63
1751198400000,2,99.93,6.66,-17.91,-4.89,96.26,39.85,52.32,98.55,41.02,51.63
1751200200000,2,103.18,6.73,414.74,-4.69,91.1,40.53,53.84,98.55,41.02,51.63
1751202000000,2,51.39,6.88,-9.8,3.38,93.69,35.84,53.41,98.55,41.02,51.63
1751203800000,2,-51.84,6.67,-593.94,2.13,92.59,38.01,51.54,98.55,41.02,51.63
1751205600000,2,-114.08,6.74,104.39,-0.45,92.29,35.51,49.12,98.55,41.02,51.63
1751207400000,2,-138.55,6.35,165.82,8.72,89.57,35.94,50.32,98.55,41.02,51.63
1751209200000,2,-102.54,6.72,110.12,-5.94,92.31,40.47,48.43,98.55,41.02,51.63
1751211000000,2,108.43,6.47,300.65,-1.6,93.95,42.1,48.21,98.55,41.02,51.63
1751212800000,2,177.12,6.86,402.05,-6.28,94.45,39.89,50.92,98.55,41.02,51.63
1751214600000,2,97.07,6.61,52.93,-4.25,91.63,40.75,48.39,98.55,41.02,51.63
1751216400000,2,-175.08,6.39,308.81,2.9,97.01,40.68,50.79,98.55,41.02,51.63
1751218200000,2,32.43,6.5,349.45,5.26,95.38,38.72,51.48,98.55,41.02,51.63
1751220000000,2,-200.61,6.58,25.18,2.61,91.71,39.23,52.64,98.55,41.02,51.63
1751221800000,2,115.71,6.6,503.87,1.59,91.29,37.69,51.02,98.55,41.02,51.63
