timestamp,Sunlight,Temperature
1750667400000,64.81,32.54
1750669200000,-136.09,31.96
1750671000000,-182.76,33.64
1750672800000,-47.41,26.88
1750674600000,-107.04,31.74
1750676400000,9.87,31.37
1750678200000,-197.19,29.89
1750680000000,-126.8,28.59
1750681800000,1.39,28.96
1750683600000,-189.03,29.1
1750685400000,-150.53,23.49
1750687200000,-108.78,30.34
1750689000000,-60.08,32.24
1750690800000,-160.23,30.14
1750692600000,-119.49,29.19
1750694400000,-111.09,30.76
1750696200000,56.2,25.99
1750698000000,-128.35,34.41
1750699800000,-64.44,26.51
1750701600000,-108.05,30.5
1750703400000,-101.56,28.98
